module_name;testno,test_name;passed;actual_value;expected_value
Register16bit;1;Q;1;0x00000025;0x00000025
Register16bit;2;Q;1;0x00000024;0x00000024
Register16bit;3;Q;1;0x00000025;0x00000025
Register16bit;4;Q;1;0x00000026;0x00000026
Register32bit;1;Q;1;0x00001234;0x00001234
Register32bit;2;Q;1;0x00001233;0x00001233
Register32bit;3;Q;1;0x00001234;0x00001234
Register32bit;4;Q;1;0x00001235;0x00001235
RegisterFile;1;OutA;1;0x12345678;0x12345678
RegisterFile;1;OutB;1;0x56781234;0x56781234
RegisterFile;2;OutA;1;0x12345678;0x12345678
RegisterFile;2;OutB;1;0x34567890;0x34567890
AddressRegisterFile;1;OutC;1;0x00001234;0x00001234
AddressRegisterFile;1;OutD;1;0x00005678;0x00005678
AddressRegisterFile;2;OutC;1;0x00001234;0x00001234
AddressRegisterFile;2;OutD;1;0x00003548;0x00003548
InstructionRegister;1;IROut;1;0x00002315;0x00002315
InstructionRegister;2;IROut;1;0x00001567;0x00001567
DataRegister;1;DROut;1;0x00022018;0x00022018
DataRegister;2;DROut;1;0x00000025;0x00000025
DataRegister;3;DROut;1;0x12345678;0x12345678
DataRegister;4;DROut;1;0x00000025;0x00000025
ArithmeticLogicUnit;1;ALUOut;1;0x55555555;0x55555555
ArithmeticLogicUnit;1;Z;1;0x00000001;0x00000001
ArithmeticLogicUnit;1;C;1;0x00000001;0x00000001
ArithmeticLogicUnit;1;N;1;0x00000001;0x00000001
ArithmeticLogicUnit;1;O;1;0x00000001;0x00000001
ArithmeticLogicUnit;2;ALUOut;1;0x55555555;0x55555555
ArithmeticLogicUnit;2;Z;1;0x00000000;0x00000000
ArithmeticLogicUnit;2;C;1;0x00000000;0x00000000
ArithmeticLogicUnit;2;N;1;0x00000000;0x00000000
ArithmeticLogicUnit;2;O;1;0x00000000;0x00000000
ArithmeticLogicUnit;3;ALUOut;1;0x00000000;0x00000000
ArithmeticLogicUnit;3;Z;1;0x00000001;0x00000001
ArithmeticLogicUnit;3;C;1;0x00000001;0x00000001
ArithmeticLogicUnit;3;N;1;0x00000000;0x00000000
ArithmeticLogicUnit;3;O;1;0x00000000;0x00000000
ArithmeticLogicUnitSystem;1;OutA;1;0x77777777;0x77777777
ArithmeticLogicUnitSystem;1;OutB;1;0x88888887;0x88888887
ArithmeticLogicUnitSystem;1;ALUOut;1;0xfffffffe;0xfffffffe
ArithmeticLogicUnitSystem;1;Z;1;0x00000000;0x00000000
ArithmeticLogicUnitSystem;1;C;1;0x00000000;0x00000000
ArithmeticLogicUnitSystem;1;N;1;0x00000000;0x00000000
ArithmeticLogicUnitSystem;1;O;1;0x00000000;0x00000000
ArithmeticLogicUnitSystem;1;MuxAOut;1;0xfffffffe;0xfffffffe
ArithmeticLogicUnitSystem;1;MuxBOut;1;0xfffffffe;0xfffffffe
ArithmeticLogicUnitSystem;1;MuxCOut;1;0x000000fe;0x000000fe
ArithmeticLogicUnitSystem;1;MuxDOut;1;0x77777777;0x77777777
ArithmeticLogicUnitSystem;1;R2;1;0x00000000;0x00000000
ArithmeticLogicUnitSystem;1;S3;1;0x00000000;0x00000000
ArithmeticLogicUnitSystem;2;OutA;1;0x77777777;0x77777777
ArithmeticLogicUnitSystem;2;OutB;1;0x88888887;0x88888887
ArithmeticLogicUnitSystem;2;ALUOut;1;0xfffffffe;0xfffffffe
ArithmeticLogicUnitSystem;2;Z;1;0x00000000;0x00000000
ArithmeticLogicUnitSystem;2;C;1;0x00000000;0x00000000
ArithmeticLogicUnitSystem;2;N;1;0x00000001;0x00000001
ArithmeticLogicUnitSystem;2;O;1;0x00000000;0x00000000
ArithmeticLogicUnitSystem;2;MuxAOut;1;0xfffffffe;0xfffffffe
ArithmeticLogicUnitSystem;2;MuxBOut;1;0xfffffffe;0xfffffffe
ArithmeticLogicUnitSystem;2;MuxCOut;1;0x000000fe;0x000000fe
ArithmeticLogicUnitSystem;2;MuxDOut;1;0x77777777;0x77777777
ArithmeticLogicUnitSystem;2;R2;1;0xfffffffe;0xfffffffe
ArithmeticLogicUnitSystem;2;S3;1;0xfffffffe;0xfffffffe
ArithmeticLogicUnitSystem;2;PC;1;0x0000fffe;0x0000fffe
ArithmeticLogicUnitSystem;3;OutC;1;0x00001254;0x00001254
ArithmeticLogicUnitSystem;3;Address;1;0x00000023;0x00000023
ArithmeticLogicUnitSystem;3;Memout;1;0x00000015;0x00000015
ArithmeticLogicUnitSystem;3;IROut;1;0x00000000;0x00000000
ArithmeticLogicUnitSystem;3;DROut;1;0x00000000;0x00000000
ArithmeticLogicUnitSystem;4;OutC;1;0x00001254;0x00001254
ArithmeticLogicUnitSystem;4;Address;1;0x00000023;0x00000023
ArithmeticLogicUnitSystem;4;Memout;1;0x00000015;0x00000015
ArithmeticLogicUnitSystem;4;IROut;1;0x00000015;0x00000015
